Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Sat Sep 08 13:08:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The woman who founded the 'incel' movement.
👉 https://t.co/1VY7Z6neEE https://t.co/31YK2Ql5IU",41
0.624,Sat Sep 08 12:13:04 +0000 2018,0.594,0.0,0.406,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎨 10-year-old Kareem's artworks are absolutely amazing. https://t.co/Ip4X0w1dpc,42
0.4497,Sat Sep 08 11:05:02 +0000 2018,0.713,0.078,0.209,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Vernon has a difficult relationship with his mum, but he's decided to invite her to watch him cheerleading.
(via… https://t.co/bPHagLL5MA",43
0.784,Sat Sep 08 09:45:13 +0000 2018,0.612,0.0,0.388,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCOne: Happy Birthday Martin Freeman! 🎈🎁 May you always reach parts that other programmes cannot reach. https://t.co/JbQkqE6OQX,44
0.3612,Sat Sep 08 09:07:04 +0000 2018,0.884,0.0,0.116,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","⚡️✈️ By 2040, Norway has promised all of its short-haul flights will be on electric aircraft. It could revolutionis… https://t.co/gLlRc9zvl4",45
-0.4215,Sat Sep 08 08:08:03 +0000 2018,0.781,0.219,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",⛵️ This recycled plastic boat collects plastic waste from rivers. https://t.co/hlunIQsYjJ,46
0.2732,Fri Sep 07 19:16:06 +0000 2018,0.909,0.0,0.091,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Dilyn the springer spaniel is recovering well after surgery to remove 206 pebbles he ate on a trip to the beach 🐶… https://t.co/HRzSgaWcFy,47
-0.5255,Fri Sep 07 18:01:07 +0000 2018,0.674,0.326,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The absolute shame of being a ""planet murderer!"" 🌍https://t.co/i1m97120D2",48
0.1027,Fri Sep 07 17:10:05 +0000 2018,0.763,0.11,0.127,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Four celebrities battle it out for a place in the semi-finals and must cook a faultless two-course meal to be judge… https://t.co/9NGC1GEvOL,49
0.0,Fri Sep 07 15:59:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Leaving work for the weekend like... 🕺🎉👋 #FridayFeeling https://t.co/NfO64IoHwt,50
