City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,san cristobal,90,EC,1536033600,93,-0.39,-78.55,51.8,9.17
88,bambous virieux,40,MU,1536033600,83,-20.34,57.76,73.4,16.11
89,coquimbo,20,CL,1536033600,100,-29.95,-71.34,51.8,2.24
90,santa cruz,90,US,1536033420,93,36.97,-122.03,66.2,2.62
91,sorong,88,ID,1536035095,100,-0.86,131.25,78.12,6.2
92,maniitsoq,80,GL,1536035096,100,65.42,-52.9,38.61,7.43
93,cabedelo,0,BR,1536033600,94,-6.97,-34.84,69.8,6.93
94,busselton,64,AU,1536034818,100,-33.64,115.35,59.76,20.74
95,ahipara,24,NZ,1536034822,100,-35.17,173.16,54.54,16.04
96,soissons,0,FR,1536035097,96,49.38,3.32,58.41,5.75
97,kieta,64,PG,1536035097,93,-6.22,155.63,83.07,2.62
98,new norfolk,75,AU,1536033600,41,-42.78,147.06,57.2,8.05
99,seminole,90,US,1536034500,95,32.72,-102.64,62.6,8.05
100,shenjiamen,44,CN,1536034860,94,29.96,122.3,82.71,14.47
101,port elizabeth,20,US,1536033360,92,39.31,-74.98,78.98,8.05
102,camalu,0,MX,1536035098,84,30.85,-116.07,63.72,4.41
103,bandarbeyla,88,SO,1536035098,81,9.49,50.81,71.55,22.75
104,chuy,8,UY,1536034835,90,-33.69,-53.46,52.65,13.91
105,batagay,12,RU,1536035099,70,67.65,134.64,40.59,6.98
106,saint george,0,GR,1536031200,60,39.45,22.34,69.8,4.7
107,port hedland,0,AU,1536033600,37,-20.31,118.58,86.0,9.17
108,hasaki,75,JP,1536033600,74,35.73,140.83,86.0,19.46
109,geraldton,5,CA,1536030000,81,49.72,-86.95,53.6,3.36
110,lavrentiya,8,RU,1536034901,80,65.58,-170.99,51.21,19.17
111,sitka,92,US,1536034815,97,37.17,-99.65,69.03,8.99
112,codrington,92,AU,1536034878,92,-28.95,153.24,57.15,6.87
113,puerto ayora,0,EC,1536034838,100,-0.74,-90.35,70.65,11.68
114,syracuse,40,US,1536033360,100,43.05,-76.15,71.96,2.06
115,tasiilaq,88,GL,1536033000,56,65.61,-37.64,42.8,8.05
116,praya,75,ID,1536033600,65,-8.71,116.27,82.4,12.75
117,taoudenni,76,ML,1536035102,23,22.68,-3.98,92.34,3.29
118,comodoro rivadavia,0,AR,1536033600,44,-45.87,-67.48,60.8,11.41
119,la ronge,90,CA,1536033600,100,55.1,-105.3,50.0,8.05
120,los llanos de aridane,44,ES,1536031800,68,28.66,-17.92,71.6,9.17
121,puerto colombia,40,CO,1536033600,88,10.99,-74.96,82.4,13.87
122,syamzha,88,RU,1536035103,93,60.02,41.06,53.82,2.95
123,moose factory,1,CA,1536030000,62,51.26,-80.61,55.4,5.82
124,sukhoy log,0,RU,1536034842,87,56.9,62.03,48.87,2.62
125,ponta do sol,36,BR,1536034817,87,-20.63,-46.0,59.85,8.77
126,castro,92,CL,1536034831,98,-42.48,-73.76,49.32,10.78
127,sorland,40,NO,1536033000,93,67.67,12.69,46.4,2.24
128,nuuk,92,GL,1536033000,100,64.17,-51.74,39.2,5.82
129,scarborough,68,GB,1536033000,87,54.28,-0.41,57.2,6.93
130,aklavik,90,CA,1536030000,87,68.22,-135.01,46.4,4.7
131,vanimo,32,PG,1536034907,100,-2.67,141.3,82.26,0.6
132,kodiak,1,US,1536033180,84,39.95,-94.76,75.92,4.7
133,ferme-neuve,0,CA,1536035106,93,46.7,-75.45,64.08,4.74
134,thung song,75,TH,1536033600,66,8.16,99.67,84.2,6.93
135,qaqortoq,32,GL,1536033000,93,60.72,-46.03,39.2,13.35
136,chapais,1,CA,1536033600,76,49.78,-74.86,55.4,4.7
137,katherine,0,AU,1536033600,16,-14.47,132.26,95.0,14.99
138,koumac,0,NC,1536035107,54,-20.56,164.28,78.84,3.18
139,pacific grove,90,US,1536033300,86,36.62,-121.92,60.08,3.36
140,coihaique,90,CL,1536034440,100,-45.58,-72.07,37.4,6.93
141,iqaluit,20,CA,1536030000,70,63.75,-68.52,42.8,10.29
142,lata,80,IN,1536034876,100,30.78,78.62,59.76,1.72
143,shaunavon,8,CA,1536035108,49,49.65,-108.41,53.1,14.47
144,katsuura,90,JP,1536033720,88,33.93,134.5,78.8,56.37
145,caconda,0,AO,1536035109,74,-13.73,15.06,47.25,2.73
146,karratha,0,AU,1536035109,12,-20.74,116.85,89.64,4.63
147,ust-kalmanka,24,RU,1536035109,88,52.12,83.31,49.23,4.63
148,aleksandrov gay,24,RU,1536035109,70,50.14,48.57,55.08,2.95
149,khani,0,GE,1536033600,93,41.96,42.96,64.4,2.24
150,chokurdakh,64,RU,1536034848,82,70.62,147.9,46.35,9.22
151,pevek,100,RU,1536034842,85,69.7,170.27,49.41,13.24
152,phonhong,75,LA,1536033600,83,18.5,102.42,82.4,4.7
153,airai,0,TL,1536034824,43,-8.93,125.41,85.05,2.84
154,suntar,24,RU,1536035111,72,62.16,117.65,48.6,3.74
155,zhezkazgan,0,KZ,1536033600,41,47.8,67.71,59.0,8.95
156,bilma,8,NE,1536034911,56,18.69,12.92,76.05,2.62
157,beira,0,ES,1536033600,82,43.2,-8.36,64.4,4.7
158,praia da vitoria,20,PT,1536030000,73,38.73,-27.07,69.8,15.82
159,labuan,75,BN,1536033600,74,5.28,115.24,89.6,3.36
160,bintulu,75,MY,1536033600,74,3.17,113.03,87.8,6.93
161,dikson,92,RU,1536034818,94,73.51,80.55,45.63,32.14
162,olinda,40,EC,1536033600,78,-2.03,-79.75,71.6,14.99
163,henties bay,44,NA,1536034928,100,-22.12,14.28,51.03,3.74
164,igarka,92,RU,1536035114,94,67.47,86.57,46.08,17.16
165,dedougou,92,BF,1536035114,100,12.47,-3.47,70.65,5.75
166,cidreira,92,BR,1536034820,99,-30.17,-50.22,57.33,18.39
167,fortuna,40,ES,1536031800,74,38.18,-1.13,78.8,3.36
168,verkhnevilyuysk,0,RU,1536035115,62,63.45,120.31,45.99,3.85
169,hilo,90,US,1536033600,93,19.71,-155.08,78.08,9.17
170,umm lajj,44,SA,1536034961,97,25.02,37.27,81.45,2.51
171,sembakung,44,ID,1536035115,79,3.82,117.25,82.62,2.73
172,teknaf,76,BD,1536034967,98,20.86,92.31,76.5,3.29
173,clyde river,20,CA,1536030000,80,70.47,-68.59,39.2,4.7
174,mazagao,0,BR,1536033600,94,-0.12,-51.29,80.6,5.82
175,san patricio,20,PY,1536034960,86,-26.98,-56.83,60.57,5.08
176,isangel,90,VU,1536033600,83,-19.55,169.27,75.2,5.82
177,narsaq,44,GL,1536033000,93,60.91,-46.05,39.2,1.39
178,moses lake,1,US,1536033180,31,47.13,-119.28,66.92,6.93
179,east london,0,ZA,1536030000,71,-33.02,27.91,57.2,11.41
180,vila velha,40,BR,1536033600,78,-3.71,-38.6,78.8,14.99
181,oktyabrskoye,12,RU,1536035118,71,56.73,85.44,52.92,3.96
182,tokonou,88,GN,1536035119,96,9.65,-9.78,70.56,5.64
183,faya,0,SA,1536030000,42,18.39,42.45,64.4,6.93
184,gornet-cricov,0,RO,1536031800,72,45.07,26.25,64.4,3.36
185,sept-iles,40,CA,1536033600,100,50.2,-66.38,60.8,8.05
186,pisco,90,PE,1536033600,87,-13.71,-76.2,60.8,4.7
187,ancud,92,CL,1536034980,97,-41.87,-73.83,49.95,10.0
188,tura,76,IN,1536034912,90,25.52,90.21,81.36,3.29
189,port hardy,20,CA,1536030000,71,50.7,-127.42,57.2,6.93
190,hobyo,92,SO,1536034871,90,5.35,48.53,74.7,14.58
191,manaia,92,NZ,1536035121,100,-39.55,174.12,50.49,34.61
192,santa isabel do rio negro,20,BR,1536034880,100,-0.41,-65.02,72.72,0.72
193,bolobo,20,CD,1536035121,97,-2.17,16.23,71.46,2.17
194,itarema,0,BR,1536034878,85,-2.92,-39.92,76.59,13.8
195,ejea de los caballeros,12,ES,1536033600,52,42.13,-1.14,66.2,10.29
196,pelym,44,RU,1536035122,91,61.01,62.0,51.57,2.39
197,san jeronimo,20,PE,1536035122,89,-13.65,-73.37,35.73,2.06
198,altay,0,CN,1536034848,50,47.83,88.13,40.95,3.18
199,dubti,92,ET,1536035123,83,11.74,41.09,70.2,4.74
200,tabou,92,CI,1536034976,100,4.42,-7.36,77.58,13.13
201,xining,80,CN,1536034960,85,36.62,101.77,57.6,3.06
202,namibe,88,AO,1536034974,100,-15.19,12.15,64.44,6.31
